id,domain,question_group,gold_answer_mode,gold_missing_facts,question,gold_mode_reason
BHXH-001,bhxh,Definition,A,,"Xin hỏi luật sư, tôi thường nghe nói đến bảo hiểm xã hội bắt buộc. Vậy cụ thể BHXH bắt buộc là gì? BHXH bắt buộc có khác gì so với người dân tự đi đóng BHXH không?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-002,bhxh,Definition,A,,Tôi muốn hỏi những ai thì thuộc diện phải tham gia BHXH bắt buộc theo luật mới?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-003,bhxh,Definition,A,,Tôi mới đi làm và ký hợp đồng ngắn hạn. Xin hỏi hợp đồng lao động phải từ mấy tháng trở lên thì mới thuộc diện đóng BHXH bắt buộc?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-004,bhxh,Definition,A,,"Tôi làm việc thời vụ chưa tới 01 tháng, công ty bảo chưa phải đóng BHXH. Như vậy có đúng không?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-005,bhxh,Definition,A+B,contract_type_or_labor_relation|contract_duration,"Tôi làm bán thời gian cho một công ty, tháng nào cũng có lương nhưng không làm đủ 8 tiếng/ngày. Trường hợp làm part-time như tôi có phải đóng BHXH bắt buộc không?",Câu hỏi có tình huống cá nhân nhưng thiếu điều kiện quyết định; nên trả lời có điều kiện và nêu thông tin cần bổ sung.
BHXH-006,bhxh,Definition,A+B,actual_labor_relation|contract_duration|management_supervision,"Tôi đang trong thời gian thử việc, chưa ký hợp đồng lao động chính thức. Vậy thời gian thử việc có phải đóng BHXH bắt buộc không?",Câu hỏi có tình huống cá nhân nhưng thiếu điều kiện quyết định; nên trả lời có điều kiện và nêu thông tin cần bổ sung.
BHXH-007,bhxh,Definition,A+B,actual_labor_relation|contract_duration|management_supervision,"Tôi ký hợp đồng cộng tác viên, bên công ty có trả tiền cho tôi theo tháng. Xin hỏi người làm cộng tác viên như tôi có bắt buộc phải đóng BHXH không?",Câu hỏi có tình huống cá nhân nhưng thiếu điều kiện quyết định; nên trả lời có điều kiện và nêu thông tin cần bổ sung.
BHXH-008,bhxh,Definition,A,,"Tôi thấy có trường hợp giám đốc, người quản lý công ty vẫn phải đóng BHXH. Tôi xin hỏi người quản lý doanh nghiệp có hưởng tiền lương được hiểu thế nào?",Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-009,bhxh,Definition,A,,Tôi đứng tên quản lý công ty gia đình nhưng thực tế không nhận lương hằng tháng. Trường hợp như vậy có còn là đối tượng đóng BHXH bắt buộc không?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-010,bhxh,Definition,A,,Tôi làm cùng lúc 2 công ty. Xin hỏi trong trường hợp người lao động ký nhiều hợp đồng lao động một lúc thì pháp luật sẽ xử lý việc tham gia BHXH bắt buộc như thế nào?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
BHXH-011,bhxh,Definition,A,,Tôi thấy trên bảng lương có rất nhiều khoản khác nhau. Xin hỏi vậy tiền lương dùng làm căn cứ đóng BHXH bắt buộc là khoản nào trong bảng lượng?,Câu hỏi dạng rule-reading/procedure; có thể trả lời trực tiếp kèm căn cứ và hướng xử lý.
